Part Number,Vos TC (max),Ios (max),BW -3 dB (typ),Ibias (typ),CMRR (min),0.1 to 10 Hz VNoise (typ),1 Hz Vnoise (typ),1 Hz Inoise (typ),Current Noise Density (typ),# of Amps,GBP (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Iq/Amp (typ),Vs span (min),Vs span (max),Package
,V/°C,A,Hz,A,dB,V p-p,V/rtHz,A/rtHz,A/rtHz,,Hz,V/us,V,V/rtHz,A,A,V,V,
ADA4851-2,,,105000000,0.0000022,90,,0.0000004,0.00000000022,0.0000000000025,2,70000000,190,0.0035,0.00000001,0.000004,0.0029,2.7,12,8-Lead MSOP
LT6555,,,,,,,,,0.0000000000035,3,650000000,2200,0.016,0.000000009,,0.009,4.5,12.6,24-Lead SSOP (Narrow 0.15 Inch) 24-Lead QFN (4mm x 4mm x 0.75mm w/ EP)
AD8000,,,1580000000,0.000003,52,0.00000002,,,0.000000000026,1,,4100,0.01,0.0000000016,0.000045,0.0135,4.5,12,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead SOIC w/ EP
AD8397,,0.0000003,69000000,0.0000002,85,,,,0.0000000000015,2,35000000,53,0.003,0.0000000045,0.0000009,0.009,3,25.2,8-Lead SOIC 8-Lead SOIC w/ EP
AD8615,0.00001,0.0000000000005,,0.0000000000002,80,0.0000024,0.00000021,,0.00000000000005,1,24000000,12,0.0001,0.000000007,0.000000000001,0.0017,2.7,5.5,5-Lead TSOT
AD8630,,0.0000000002,,0.0000000001,120,0.0000005,,,0.000000000000005,4,2500000,1,0.000005,0.000000022,0.0000000003,0.00085,2.7,5.5,14-Lead SOIC 14-Lead TSSOP
AD8691,0.000012,0.0000000000005,,0.0000000000002,70,0.0000016,0.00000014,,0.00000000000005,1,10000000,5,0.002,0.0000000065,0.000000000001,0.00105,2.7,5.5,5-Lead SC70 5-Lead TSOT
ADA4851-4,,,105000000,0.0000022,90,,0.0000004,0.00000000022,0.0000000000025,4,70000000,190,0.0035,0.00000001,0.000004,0.0029,2.7,12,14-Lead TSSOP
LT6557,,,,0.00007,,,,,0.00000000002,3,500000000,2200,0.04,0.000000012,,0.0225,3,7.5,16-Lead SSOP (Narrow 0.15 Inch) 16-Lead DFN (5mm x 3mm w/ EP)
AD8629,0.00000002,0.0000000002,,0.00000000003,120,0.0000005,,,0.000000000000005,2,2500000,1,0.000005,0.000000022,0.0000000001,0.00085,2.7,5.5,8-Lead SOIC 8-Lead MSOP
AD8641,,0.0000000000005,,0.00000000000025,90,0.0000042,0.00000063,,0.0000000000000005,1,3500000,3,0.00075,0.0000000275,0.000000000001,0.00029,5,26,5-Lead SC70 8-Lead SOIC
AD8652,,0.00000000001,50000000,0.000000000001,84,,0.00000021,,0.000000000000004,2,50000000,41,0.0003,0.0000000045,0.00000000001,0.009,2.7,5.5,8-Lead SOIC 8-Lead MSOP
AD8692,0.000006,0.0000000000005,,0.0000000000002,70,0.0000016,0.00000014,,0.00000000000005,2,10000000,5,0.002,0.0000000065,0.000000000001,0.00105,2.7,5.5,8-Lead SOIC 8-Lead MSOP
ADA4851-1,,,105000000,0.0000022,90,,0.0000004,0.00000000022,0.0000000000025,1,70000000,190,0.0035,0.00000001,0.000004,0.0029,2.7,12,6-Lead SOT-23
AD8045,,0.0000013,1000000000,0.000002,83,,0.00000014,0.00000000026,0.000000000003,1,400000000,1350,0.001,0.000000003,0.0000063,0.016,3.3,12,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead SOIC w/ EP
AD8618,0.000007,0.0000000000005,,0.0000000000002,80,0.0000024,0.00000021,,0.00000000000005,4,24000000,12,0.00006,0.000000007,0.000000000001,0.002,2.7,5.5,14-Lead SOIC 14-Lead TSSOP
